# the reading for 3 rounds (include color, reflection, ambient)

DATA LOG STARTING - 3 ROUNDS
Format: Color | Refl | Amb | TurnRate | Notes
Color.BLUE   | 30   | 1    | 18   | [COLOR DETECTED!] 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 61   | 2    | -19  | 
Color.WHITE  | 73   | 2    | -33  | 
Color.WHITE  | 58   | 2    | -15  | 
Color.WHITE  | 41   | 2    | 4    | 
Color.WHITE  | 32   | 1    | 15   | 
Color.WHITE  | 38   | 2    | 8    | 
Color.WHITE  | 40   | 2    | 6    | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 41   | 1    | 4    | 
Color.WHITE  | 41   | 2    | 4    | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 51   | 2    | -7   | 
Color.WHITE  | 52   | 2    | -8   | 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 41   | 2    | 4    | 
Color.WHITE  | 41   | 2    | 4    | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 41   | 2    | 4    | 
Color.WHITE  | 52   | 2    | -8   | 
Color.WHITE  | 92   | 4    | -56  | [CORNER] 
Color.WHITE  | 95   | 4    | -60  | [CORNER] 
Color.WHITE  | 94   | 3    | -58  | [CORNER] 
Color.WHITE  | 92   | 3    | -56  | [CORNER] 
