light blue station: 
Color Code | Refl | Amb
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 3   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLACK  | 11   | 0   
Color.BROWN  | 19   | 1   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.YELLOW | 50   | 1   
Color.YELLOW | 88   | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 3   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
--- STOPPED ---
olor Code | Refl | Amb
Color.BLUE   | 99   | 2   
Color.BLUE   | 100  | 3   
Color.BLUE   | 93   | 2   
Color.YELLOW | 81   | 2   
Color.YELLOW | 75   | 2   
Color.BLUE   | 85   | 2   
Color.BLUE   | 94   | 2   
Color.BLUE   | 94   | 2   
Color.YELLOW | 84   | 2   
Color.BLUE   | 83   | 2   
Color.YELLOW | 83   | 2   
Color.YELLOW | 83   | 2   
Color.YELLOW | 84   | 2   
Color.YELLOW | 86   | 2   
Color.BLUE   | 97   | 3   
Color.BLUE   | 98   | 3   
Color.BLUE   | 97   | 2   
Color.BLUE   | 97   | 2   
Color.BLUE   | 98   | 2   
Color.BLUE   | 98   | 2   
Color.BLUE   | 97   | 2   
Color.BLUE   | 98   | 3   
Color.BLUE   | 98   | 2   
Color.BLUE   | 97   | 3   
Color.BLUE   | 90   | 1   
Color.BLUE   | 84   | 2   
Color.YELLOW | 84   | 2   
Color.BLUE   | 100  | 3   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 92   | 2   
Color.BLUE   | 85   | 3   
Color.BLUE   | 81   | 2   
Color.YELLOW | 84   | 2   
Color.BLUE   | 87   | 2   
Color.BLUE   | 100  | 3   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 86   | 3   
Color.YELLOW | 80   | 2   
Color.BLUE   | 91   | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 98   | 2   
Color.BLUE   | 83   | 2   
Color.YELLOW | 87   | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.YELLOW | 86   | 2   
Color.YELLOW | 80   | 2   
Color.BLUE   | 99   | 2   
Color.BLUE   | 98   | 2   
Color.BLUE   | 98   | 3   
Color.YELLOW | 79   | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 3   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 2   
Color.BLUE   | 100  | 3   
--- STOPPED ---


orange station: 
Color Code | Refl | Amb
Color.RED    | 95   | 2   
Color.RED    | 95   | 2   
Color.RED    | 94   | 2   
Color.RED    | 94   | 2   
Color.RED    | 96   | 2   
Color.RED    | 96   | 2   
Color.RED    | 81   | 1   
Color.RED    | 55   | 1   
Color.RED    | 82   | 1   
Color.RED    | 100  | 2   
Color.RED    | 100  | 2   
Color.RED    | 100  | 3   
Color.RED    | 81   | 2   
Color.RED    | 48   | 1   
Color.RED    | 99   | 2   
Color.RED    | 100  | 2   
Color.RED    | 100  | 2   
Color.RED    | 100  | 2   
Color.RED    | 100  | 2   
Color.RED    | 87   | 2   
Color.RED    | 48   | 1   
Color.RED    | 97   | 2   
Color.RED    | 100  | 2   
Color.RED    | 100  | 2   
Color.RED    | 100  | 1   
Color.RED    | 100  | 2   
Color.RED    | 72   | 1   
Color.RED    | 57   | 1   
Color.RED    | 100  | 2   
Color.RED    | 100  | 2   
Color.RED    | 76   | 1   
Color.RED    | 98   | 2   
Color.RED    | 100  | 1   
Color.RED    | 100  | 2   
Color.RED    | 92   | 1   
Color.RED    | 60   | 1   
Color.RED    | 56   | 1   
Color.RED    | 96   | 2   
Color.RED    | 99   | 2   
